iter	RMSE
157	7.224686547
158	7.213847738
159	7.210931133
160	7.198169909
161	7.193916485
162	7.191691276
163	7.18385763
164	7.173627978
165	7.172224512
166	7.17026642
167	7.167975942
168	7.166573621
169	7.16521471
170	7.158450152
171	7.137069798
172	7.130913315
173	7.123700021
174	7.115330529
175	7.114107603
176	7.112905447
177	7.109931418
178	7.109084883
179	7.105804479
180	7.103893936
181	7.102899732
182	7.101511048
183	7.100756437
184	7.099116113
185	7.078702885
186	7.072514277
187	7.057156474
188	7.05594353
189	7.054453056
190	7.05243804
191	7.031396051
192	7.026562674
193	7.022366116
194	7.021254685
195	7.015059835
196	6.993318563
197	6.989916438
198	6.985041656
199	6.984332083
200	6.983295572
201	6.979325659
202	6.977801327
203	6.976826038
204	6.976036432
205	6.957053851
206	6.956153983
207	6.955570974
208	6.954469135
209	6.953528972
210	6.948796638
211	6.948206636
212	6.943779452
213	6.913285464
214	6.895360668
215	6.847345118
216	6.846324586
217	6.84564268
218	6.839639073
219	6.831059491
220	6.812955995
221	6.812188359
222	6.809402199
223	6.808710809
224	6.807741166
225	6.807116785
226	6.80332331
227	6.785565378
228	6.744564303
229	6.742237789
230	6.74162719
231	6.726840419
232	6.724161395
233	6.723556037
234	6.716238587
235	6.703608631
236	6.702956225
237	6.693492272
238	6.650720117
239	6.649809695
240	6.649094931
241	6.614726965
242	6.606801318
243	6.606320444
244	6.602293932
245	6.595962107
246	6.588906425
247	6.588167316
248	6.581720165
249	6.580519223
250	6.579888308
251	6.576081661
252	6.572587246
253	6.54427645
254	6.542024992
255	6.541427818
256	6.528172004
257	6.512742783
258	6.51189998
259	6.507523872
260	6.506022069
261	6.501971762
262	6.480190503
263	6.477180744
264	6.460197361
265	6.458980399
266	6.457516552
267	6.438005669
268	6.434408566
269	6.432356481
270	6.414733553
271	6.400600917
272	6.391433575
273	6.388605392
274	6.373869486
275	6.373297555
276	6.369995041
277	6.357857709
278	6.341371557
279	6.340461848
280	6.339620335
281	6.331814526
282	6.32144324
283	6.318803029
284	6.30567644
285	6.304613564
286	6.300593392
287	6.298265759
288	6.2972217
289	6.294866731
290	6.288270853
291	6.286218352
292	6.285923527
293	6.282190883
294	6.281904419
295	6.277496949
296	6.274156381
297	6.262747155
298	6.254558481
299	6.252429434
300	6.250150532
301	6.247437986
302	6.245786432
303	6.244559283
304	6.242445836
305	6.24218472
306	6.239490688
307	6.238414156
308	6.238164017
309	6.231615406
310	6.221204736
311	6.219450151
312	6.211150715
313	6.205414186
314	6.203772535
315	6.201790062
316	6.200476712
317	6.198645136
318	6.197022941
319	6.195254817
320	6.193170923
321	6.192553039
322	6.190879581
323	6.184365242
324	6.182971005
325	6.181628019
326	6.180667159
327	6.178974136
328	6.173720492
329	6.172232391
330	6.168895691
331	6.160973734
332	6.159641339
333	6.153965348
334	6.152286557
335	6.136326948
336	6.135154552
337	6.133901715
338	6.132614064
339	6.132164548
340	6.126478926
341	6.119020093
342	6.10150477
343	6.097698973
344	6.096022606
345	6.094339931
346	6.091345857
347	6.090702699
348	6.085022781
349	6.069261805
350	6.066519828
351	6.065828118
352	6.065479166
353	6.058146798
354	6.056446901
355	6.055426575
356	6.051684913
357	6.047587192
358	6.044821139
359	6.043784605
360	6.039885191
361	6.035142389
362	6.03400325
363	6.033457344
364	6.031643698
365	6.030241712
366	6.02890108
367	6.022819729
368	6.014997644
369	6.014625974
370	6.010487673
371	6.006541652
372	6.006306721
373	6.004817652
374	5.998259353
375	5.99462461
376	5.993416445
377	5.989660666
378	5.988871347
379	5.98552429
380	5.973359634
381	5.972182547
382	5.970567683
383	5.96948419
384	5.966851477
385	5.966004122
386	5.96530087
387	5.965089509
388	5.963530132
389	5.962719446
390	5.945124405
391	5.94369135
392	5.943005383
393	5.942305177
394	5.94140577
395	5.940466397
396	5.939180378
397	5.938507242
398	5.937324657
399	5.937036925
400	5.936240185
401	5.932933948
402	5.93060763
403	5.929630592
404	5.927853915
405	5.927385955
406	5.926234662
407	5.925691816
408	5.924626437
409	5.92253867
410	5.92101961
411	5.918771477
412	5.91265738
413	5.90749548
414	5.895356205
415	5.894374061
416	5.891268162
417	5.889498785
418	5.888537027
419	5.886939394
420	5.883155905
421	5.880489892
422	5.876300923
423	5.875390854
424	5.873724366
425	5.86793667
426	5.866844162
427	5.865678176
428	5.861116875
429	5.860613543
430	5.86002311
431	5.856183619
432	5.85602389
433	5.852117931
434	5.851568218
435	5.851413739
436	5.850337593
437	5.848976298
438	5.847482178
439	5.846900998
440	5.846137605
441	5.845557031
442	5.844843884
443	5.843474307
444	5.842700778
445	5.840162109
446	5.83659392
447	5.835842868
448	5.835580489
449	5.83466345
450	5.825979969
451	5.823697809
452	5.819160282
453	5.817057168
454	5.816329626
455	5.816011614
456	5.81294202
457	5.810166089
458	5.809781468
459	5.798655585
460	5.797620747
461	5.795265292
462	5.792650393
463	5.787854173
464	5.787402649
465	5.786872513
466	5.786101477
467	5.782983163
468	5.779073318
469	5.777611101
470	5.773929845
471	5.773401163
472	5.770577826
473	5.769392265
474	5.768791869
475	5.767886369
476	5.766116185
477	5.765980006
478	5.76509195
479	5.76394998
480	5.758010802
481	5.757789517
482	5.757576944
483	5.757155075
484	5.757074091
485	5.75622477
486	5.755404607
487	5.755106111
488	5.74868754
489	5.746720738
490	5.745358019
491	5.743607123
492	5.741326562
493	5.7410084
494	5.740678523
495	5.737107683
496	5.734711768
497	5.734270001
498	5.730801554
499	5.729805851
500	5.728692846
501	5.727426128
502	5.726735466
503	5.726496456
504	5.725549123
505	5.719508802
506	5.719111373
507	5.718324661
508	5.715252964
509	5.708343049
510	5.70811578
511	5.707409366
512	5.706978328
513	5.704533983
514	5.703902443
515	5.703206733
516	5.702547043
517	5.701293415
518	5.699730142
519	5.698476564
520	5.69784219
521	5.697392395
522	5.696989273
523	5.696781795
524	5.696294112
525	5.695768478
526	5.695604831
527	5.692476779
528	5.692099393
529	5.691701435
530	5.691249691
531	5.690992429
532	5.690586703
533	5.686089652
534	5.683020367
535	5.67886343
536	5.678033553
537	5.673979379
538	5.673883102
539	5.673830015
540	5.673421848
541	5.673334721
542	5.67296492
543	5.672290701
544	5.669071767
545	5.668623433
546	5.664946819
547	5.664840481
548	5.664664916
549	5.664585312
550	5.654309491
551	5.651888824
552	5.648682523
553	5.64853035
554	5.647684716
555	5.643723091
556	5.643337857
557	5.642823306
558	5.641244842
559	5.640822098
560	5.634336892
561	5.633494406
562	5.633271994
563	5.631361651
564	5.629537146
565	5.629327962
566	5.627374047
567	5.626774863
568	5.626396786
569	5.626304078
570	5.624372746
571	5.623992707
572	5.623736561
573	5.623338391
574	5.623227798
575	5.614097246
576	5.614042426
577	5.607906457
578	5.607852536
579	5.604054257
580	5.603328226
581	5.60287963
582	5.602342667
583	5.601756312
584	5.601303351
585	5.600635704
586	5.599802782
587	5.59953419
588	5.599201173
589	5.598341289
590	5.595737206
591	5.595330853
592	5.594525799
593	5.587459076
594	5.586764324
595	5.586318474
596	5.585516456
597	5.584798937
598	5.584493967
599	5.584086989
600	5.577442965
601	5.576895879
602	5.571545379
603	5.567916211
604	5.567502395
605	5.567189123
606	5.566952329
607	5.566473358
608	5.56619776
609	5.563752089
610	5.563144343
611	5.562890642
612	5.562841366
613	5.562640965
614	5.562181624
615	5.556835446
616	5.556682653
617	5.556598303
618	5.556364326
619	5.553986846
620	5.550735347
621	5.550373953
622	5.54948428
623	5.544922538
624	5.544740416
625	5.544648299
626	5.541859973
627	5.541507279
628	5.541142375
629	5.536284696
630	5.535815654
631	5.529757503
632	5.529419462
633	5.528913677
634	5.528763731
635	5.522281815
636	5.518935724
637	5.51885955
638	5.515059009
639	5.514643199
640	5.504315694
641	5.50374629
642	5.499298015
643	5.497997664
644	5.497249163
645	5.496563491
646	5.495780652
647	5.495708836
648	5.495632891
649	5.49503331
650	5.49266722
651	5.492400713
652	5.491926265
653	5.491749696
654	5.491534737
655	5.491486728
656	5.491258439
657	5.487560977
658	5.487071202
659	5.486849673
660	5.486568331
661	5.486281415
662	5.486067911
663	5.484906276
664	5.484615612
665	5.484286922
666	5.484209815
667	5.4840294
668	5.483830847
669	5.48376519
670	5.483573664
671	5.482325924
672	5.478622229
673	5.477582049
674	5.477195905
675	5.477016546
676	5.476954585
677	5.476724729
678	5.47646163
679	5.476210885
680	5.472823722
681	5.47273044
682	5.472443477
683	5.466812877
684	5.466762759
685	5.466339917
686	5.464937089
687	5.463593129
688	5.463068524
689	5.462567791
690	5.462109428
691	5.461653409
692	5.461238992
693	5.460926899
694	5.460565622
695	5.460474611
696	5.459860821
697	5.459345862
698	5.459093613
699	5.458263452
700	5.456338249
701	5.456179033
702	5.455611038
703	5.455493099
704	5.455329779
705	5.454226421
706	5.45399885
707	5.452922382
708	5.452319016
709	5.450527169
710	5.449922318
711	5.449585641
712	5.449481588
713	5.449025442
714	5.448979955
715	5.44841664
716	5.447106018
717	5.447026215
718	5.446262672
719	5.444558787
720	5.444194071
721	5.441176878
722	5.441037551
723	5.440866715
724	5.440726105
725	5.43759889
726	5.437266216
727	5.437171591
728	5.436365109
729	5.435976995
730	5.435452927
731	5.432980144
732	5.432420162
733	5.4296619
734	5.429455902
735	5.426921062
736	5.426597625
737	5.426023855
738	5.425939048
739	5.424227289
740	5.423338763
741	5.422936204
742	5.422626731
743	5.422551128
744	5.41856471
745	5.418106979
746	5.415239374
747	5.414907761
748	5.414782922
749	5.414360959
750	5.41414258
751	5.414071219
752	5.413594687
753	5.41322582
754	5.412923065
755	5.412423188
756	5.410912875
757	5.409409215
758	5.408968445
759	5.40890537
760	5.408267608
761	5.408127466
762	5.408068382
763	5.407657734
764	5.407542412
765	5.404934173
766	5.404341922
767	5.403785643
768	5.403712241
769	5.403659205
770	5.403381335
771	5.40334984
772	5.402951846
773	5.402558479
774	5.399390675
775	5.397289623
776	5.397180791
777	5.397110636
778	5.395735565
779	5.395439028
780	5.395386671
781	5.39511432
782	5.395053302
783	5.394952908
784	5.394409814
785	5.394343512
786	5.393976238
787	5.393545449
788	5.393119221
789	5.390088244
790	5.390063608
791	5.387249547
792	5.387119843
793	5.386996781
794	5.386849601
795	5.386360867
796	5.386190508
797	5.385853475
798	5.385151155
799	5.385011373
800	5.381454993
801	5.380113717
802	5.379911222
803	5.379793309
804	5.378936976
805	5.376005604
806	5.374543136
807	5.374061179
808	5.373852278
809	5.373621791
810	5.373585468
811	5.373476061
812	5.373015676
813	5.372817225
814	5.370347411
815	5.369978035
816	5.369787976
817	5.368666013
818	5.367350968
819	5.367236812
820	5.367025016
821	5.366997694
822	5.366895291
823	5.366795946
824	5.366699309
825	5.366356256
826	5.366032027
827	5.365991375
828	5.360567617
829	5.36047358
830	5.359994522
831	5.359814452
832	5.359612395
833	5.357378934
834	5.357289712
835	5.357257587
836	5.357227299
837	5.357198726
838	5.357175735
839	5.35384423
840	5.353758726
841	5.35367575
842	5.353432414
843	5.351897629
844	5.351870309
845	5.351789437
846	5.351710948
847	5.351417528
848	5.351348169
849	5.351322381
850	5.351141937
851	5.34569274
852	5.345668818
853	5.343751178
854	5.343234673
855	5.342795176
856	5.342763077
857	5.342740605
858	5.34266508
859	5.342643763
860	5.342570418
861	5.342456143
862	5.341919845
863	5.337851157
864	5.337808952
865	5.337005692
866	5.336611371
867	5.333848402
868	5.333480783
869	5.333461256
870	5.333356626
871	5.333066365
872	5.333046652
873	5.333027973
874	5.332959044
875	5.330819609
876	5.330137423
877	5.330070708
878	5.329804327
879	5.329469347
880	5.329376763
881	5.329312764
882	5.329250629
883	5.329220826
884	5.329197577
885	5.329021305
886	5.328396065
887	5.32837969
888	5.328320376
889	5.327679822
890	5.327622332
891	5.32750912
892	5.327127809
893	5.324075598
894	5.323150639
895	5.323016729
896	5.322963785
897	5.322629918
898	5.322590663
899	5.31994077
900	5.319890226
901	5.319829317
902	5.319774377
903	5.319737872
904	5.319177441
905	5.319124134
906	5.319072354
907	5.316683407
908	5.311575525
909	5.310598061
910	5.310547432
911	5.310305123
912	5.309994659
913	5.309945553
914	5.309539525
915	5.306948543
916	5.30645809
917	5.3059642
918	5.305916321
919	5.305682611
920	5.3051477
921	5.305116238
922	5.304167709
923	5.304120946
924	5.304090793
925	5.304045382
926	5.304016656
927	5.303972549
928	5.303901579
929	5.303702608
930	5.303660016
931	5.303618649
932	5.301271911
933	5.301092914
934	5.30092287
935	5.30062657
936	5.300586343
937	5.298853805
938	5.298815047
939	5.2987774
940	5.298539979
941	5.298486645
942	5.297721645
943	5.29677724
944	5.296740531
945	5.296704888
946	5.296680114
947	5.296648649
948	5.296626319
949	5.296407557
950	5.292530554
951	5.292495908
952	5.292462266
953	5.291463405
954	5.291220146
955	5.289777041
956	5.283134692
957	5.283102267
958	5.28254536
959	5.282430651
960	5.282122084
961	5.281247508
962	5.279636487
963	5.279477699
964	5.279160602
965	5.279035801
966	5.278831031
967	5.27603791
968	5.275447504
969	5.275239538
970	5.27498679
971	5.27478901
972	5.270043151
973	5.270011785
974	5.269636587
975	5.268756478
976	5.26860423
977	5.267881601
978	5.266325515
979	5.26198146
980	5.261092965
981	5.261062622
982	5.260964617
983	5.260769218
984	5.259967615
985	5.259655822
986	5.255666886
987	5.251501535
988	5.247747287
989	5.247716992
990	5.247315399
991	5.247264563
992	5.245780922
993	5.245751373
994	5.245723061
995	5.24564728
996	5.242005069
997	5.238400767
998	5.238287198
999	5.238177294
