run_id,Time Elapsed/s,3DBall.Environment.CumulativeReward.mean,batch_size,learning_rate,CPU Model,Operating System,GPU Model,buffer_size,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule,timestamp,CPU Cores,CPU Frequency,Total RAM,DRL Algorithm Used,lambda,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon
max-hiddenunits32-config1-2,477.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T14:57:39Z,14.0,1496.00 MHz,15.63 GB,PPO,0.99,True,32.0,1.0,0.99,500000.0,1000.0
max-hiddenunits64-config1-0,480.0,92.35386,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T15:05:42Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,1.0,0.99,500000.0,1000.0
max-hiddenunits64-config1-1,544.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T15:13:49Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,1.0,0.99,500000.0,1000.0
max-hiddenunits64-config1-2,450.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T15:22:58Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,64.0,1.0,0.99,500000.0,1000.0
max-hiddenunits128-config1-0,757.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T20:50:02Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,1.0,0.99,500000.0,1000.0
max-hiddenunits128-config1-1,762.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T21:02:51Z,14.0,1496.00 MHz,15.63 GB,PPO,0.99,True,128.0,1.0,0.99,500000.0,1000.0
max-hiddenunits128-config1-2,583.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T21:15:43Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,1.0,0.99,500000.0,1000.0
max-hiddenunits256-config1-0,782.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T21:25:34Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,1.0,0.99,500000.0,1000.0
max-hiddenunits256-config1-1,744.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T21:38:42Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,1.0,0.99,500000.0,1000.0
max-hiddenunits256-config1-2,1351.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-28T21:51:13Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,256.0,1.0,0.99,500000.0,1000.0
