batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,hidden_units,num_layers,time_horizon,max_steps,gamma,normalize,CPU Cores,Total RAM
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
1024,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
1024,12000,1e-05,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
64,12000,1e-05,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB
