run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
robert-run316,2026-01-05T20:21:55Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,599.000
robert-run317,2026-01-05T20:33:03Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,1500.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,503.000
robert-run318,2026-01-05T23:04:43Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,352.000
robert-run319,2026-01-05T23:12:03Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.001,0.001,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,656.000
robert-run320,2026-01-05T23:23:10Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.001,0.001,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,527.000
robert-run321,2026-01-05T23:32:35Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.001,0.001,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,400.000
robert-run322,2026-01-06T08:15:24Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.01,0.2,0.99,3,True,128,2,0.99,500000,1024,1.633485,627.000
robert-run323,2026-01-06T08:28:03Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.01,0.2,0.99,3,True,128,2,0.99,500000,1024,1.906030,552.000
robert-run324,2026-01-06T08:37:33Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,1e-05,0.01,0.2,0.99,3,True,128,2,0.99,500000,1024,1.514815,633.000
robert-run325,2026-01-06T08:51:24Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,512,4096,0.0003,0.0001,0.2,0.99,3,True,128,2,0.99,500000,1024,100.000015,542.000
