run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
max-hiddenunits32-config1-0,2025-11-28T14:35:40Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,1.0,0.99,500000.0,1000.0,100.000015,703.0
max-hiddenunits32-config1-1,2025-11-28T14:47:36Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,1.0,0.99,500000.0,1000.0,100.000015,599.0
max-hiddenunits32-config1-2,2025-11-28T14:57:39Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32.0,1.0,0.99,500000.0,1000.0,100.000015,477.0
max-hiddenunits64-config1-0,2025-11-28T15:05:42Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,1.0,0.99,500000.0,1000.0,92.35386,480.0
max-hiddenunits64-config1-1,2025-11-28T15:13:49Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,1.0,0.99,500000.0,1000.0,100.000015,544.0
max-hiddenunits64-config1-2,2025-11-28T15:22:58Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64.0,1.0,0.99,500000.0,1000.0,100.000015,450.0
max-hiddenunits128-config1-0,2025-11-28T20:50:02Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,1.0,0.99,500000.0,1000.0,100.000015,757.0
max-hiddenunits128-config1-1,2025-11-28T21:02:51Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,1.0,0.99,500000.0,1000.0,100.000015,762.0
max-hiddenunits128-config1-2,2025-11-28T21:15:43Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,1.0,0.99,500000.0,1000.0,100.000015,583.0
max-hiddenunits256-config1-0,2025-11-28T21:25:34Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,1.0,0.99,500000.0,1000.0,100.000015,782.0
max-hiddenunits256-config1-1,2025-11-28T21:38:42Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,1.0,0.99,500000.0,1000.0,100.000015,744.0
max-hiddenunits256-config1-2,2025-11-28T21:51:13Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256.0,1.0,0.99,500000.0,1000.0,100.000015,1351.0
