run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
60Batch_Size,2025-11-13T16:29:57Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,60,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.104895,32.000
56Batch_Size,2025-11-13T16:30:53Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,56,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.605883,35.000
52Batch_Size,2025-11-13T16:32:05Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,52,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,4.910101,35.000
48Batch_Size,2025-11-13T16:33:00Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,48,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,2.893000,37.000
44Batch_Size,2025-11-13T16:33:55Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,44,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,,15.000
44Batch_Size,2025-11-13T16:34:24Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,44,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.051211,36.000
40Batch_Size,2025-11-13T16:35:20Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,40,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,4.581043,40.000
36Batch_Size,2025-11-13T16:36:37Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,36,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.123944,36.000
32Batch_Size,2025-11-13T16:37:44Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,32,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.089511,39.000
28Batch_Size,2025-11-13T16:39:03Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,28,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.628740,41.000
24Batch_Size,2025-11-13T16:40:03Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,24,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.165481,37.000
20Batch_Size,2025-11-13T16:41:02Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,20,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,4.066380,45.000
16Batch_Size,2025-11-13T16:42:17Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,16,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.837037,55.000
12Batch_Size,2025-11-13T16:43:32Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,12,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,4.343892,58.000
8Batch_Size,2025-11-13T16:54:10Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,8,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,4.751220,70.000
4Batch_Size,2025-11-13T16:55:39Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,4,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,4.374312,109.000
TimeScale10,2025-11-13T17:00:14Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.201434,45.000
4numEpoch,2025-11-13T17:03:42Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,4,True,128,2,0.99,500000,1000,3.840083,39.000
5numEpoch,2025-11-13T17:05:38Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,5,True,128,2,0.99,500000,1000,4.090435,35.000
6numEpoch,2025-11-13T17:07:06Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,6,True,128,2,0.99,500000,1000,4.251340,42.000
7numEpoch,2025-11-13T17:09:47Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,7,True,128,2,0.99,500000,1000,4.226223,44.000
