batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,hidden_units,num_layers,time_horizon,max_steps,gamma,normalize,CPU Cores,Total RAM,TimeElapsed,CumulativeReward
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,0.0110023021697998,1.2063461542129517
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,13.85291028022766,1.2289320230484009
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,466.4559035301209,100.00001525878906
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,106.25873517990112,61.11579895019531
1024,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,1653.1768026351929,100.00001525878906
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,1682.1451795101166,69.12354278564453
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,42.37005496025085,2.2850704193115234
1024,12000,1e-05,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,1937.575988531113,2.0656991004943848
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,421.3858735561371,83.28001403808594
64,12000,1e-05,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16,523.7634398937225,3.011986255645752
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,644.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,1279.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,607.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,705.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,877.0,97.6154
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,2839.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,818.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,640.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,917.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,703.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,599.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63 GB,477.0,100.000015
